date,value
2/1/2002,4.1825
3/1/2002,4.24
4/1/2002,4.245
5/1/2002,4.3075
6/1/2002,4.35
7/1/2002,4.395
8/1/2002,4.325
9/1/2002,4.43
10/1/2002,4.4675
11/1/2002,4.46
12/1/2002,4.525
13/1/2002,4.5075
14/1/2002,4.455
15/1/2002,4.39
23/1/2002,4.335
24/1/2002,4.3725
25/1/2002,4.3075
28/1/2002,4.31
29/1/2002,4.285
30/1/2002,4.2775
31/1/2002,4.3025
1/2/2002,4.2675
4/2/2002,4.34
5/2/2002,4.3275
6/2/2002,4.28
7/2/2002,4.3125
8/2/2002,4.29
11/2/2002,4.31
12/2/2002,4.3625
13/2/2002,4.395
14/2/2002,4.3625
15/2/2002,4.3725
19/2/2002,4.3825
20/2/2002,4.45
21/2/2002,4.44
22/2/2002,4.4125
25/2/2002,4.375
26/2/2002,4.3845
27/2/2002,4.456
28/2/2002,4.3935
1/3/2002,4.515
4/3/2002,4.51
5/3/2002,4.5725
6/3/2002,4.545
7/3/2002,4.595
8/3/2002,4.655
11/3/2002,4.6475
12/3/2002,4.6325
13/3/2002,4.6275
14/3/2002,4.685
15/3/2002,4.7225
18/3/2002,4.605
19/3/2002,4.635
20/3/2002,4.585
21/3/2002,4.5925
22/3/2002,4.645
25/3/2002,4.625
26/3/2002,4.6775
27/3/2002,4.7275
28/3/2002,4.7625
1/4/2002,4.7575
2/4/2002,4.7325
3/4/2002,4.6175
4/4/2002,4.59
5/4/2002,4.655
8/4/2002,4.58
9/4/2002,4.6125
10/4/2002,4.605
11/4/2002,4.58
12/4/2002,4.61
15/4/2002,4.565
16/4/2002,4.6325
17/4/2002,4.7325
18/4/2002,4.7025
19/4/2002,4.72
22/4/2002,4.705
23/4/2002,4.74
24/4/2002,4.795
25/4/2002,4.745
26/4/2002,4.683
29/4/2002,4.64
30/4/2002,4.6585
1/5/2002,4.6425
2/5/2002,4.6375
3/5/2002,4.6125
6/5/2002,4.6275
7/5/2002,4.655
8/5/2002,4.72
9/5/2002,4.7625
10/5/2002,4.7075
13/5/2002,4.775
14/5/2002,4.76
15/5/2002,4.82
16/5/2002,4.8475
17/5/2002,4.875
20/5/2002,4.9125
21/5/2002,4.905
22/5/2002,4.93
23/5/2002,4.915
24/5/2002,4.91
28/5/2002,4.9725
29/5/2002,4.9625
30/5/2002,5.0125
31/5/2002,5.0875
3/6/2002,5.055
4/6/2002,5.0975
5/6/2002,5.1375
6/6/2002,5.1325
7/6/2002,5.075
10/6/2002,5.005
11/6/2002,5.005
12/6/2002,4.9325
13/6/2002,5.0125
14/6/2002,4.97
17/6/2002,4.9875
18/6/2002,4.93
19/6/2002,4.915
20/6/2002,4.875
21/6/2002,4.95
24/6/2002,5.0525
25/6/2002,5.025
26/6/2002,5.117
27/6/2002,5.178
28/6/2002,5.303
1/7/2002,5.4025
2/7/2002,5.31
3/7/2002,5.38
5/7/2002,5.4575
8/7/2002,5.43
9/7/2002,5.53
10/7/2002,5.5125
11/7/2002,5.5475
12/7/2002,5.5825
15/7/2002,5.7
16/7/2002,5.7975
17/7/2002,5.7675
18/7/2002,5.775
19/7/2002,5.7525
22/7/2002,5.9375
23/7/2002,5.76
24/7/2002,5.84
25/7/2002,5.6775
26/7/2002,5.471
29/7/2002,5.2865
30/7/2002,5.367
31/7/2002,5.567
1/8/2002,5.5875
2/8/2002,5.55
5/8/2002,5.49
6/8/2002,5.515
7/8/2002,5.5075
8/8/2002,5.455
9/8/2002,5.5475
12/8/2002,5.8175
13/8/2002,5.85
14/8/2002,5.94
15/8/2002,5.9225
16/8/2002,5.8325
19/8/2002,5.69
20/8/2002,5.5175
21/8/2002,5.5425
22/8/2002,5.48
23/8/2002,5.52
26/8/2002,5.5375
27/8/2002,5.591
28/8/2002,5.528
29/8/2002,5.455
30/8/2002,5.476
3/9/2002,5.495
4/9/2002,5.5275
5/9/2002,5.5725
6/9/2002,5.6
9/9/2002,5.71
10/9/2002,5.7725
11/9/2002,5.8875
12/9/2002,5.7825
13/9/2002,5.6525
16/9/2002,5.725
17/9/2002,5.73
18/9/2002,5.72
19/9/2002,5.64
20/9/2002,5.645
23/9/2002,5.5325
24/9/2002,5.6175
25/9/2002,5.5875
26/9/2002,5.655
27/9/2002,5.6025
30/9/2002,5.4575
1/10/2002,5.42
2/10/2002,5.375
3/10/2002,5.38
4/10/2002,5.395
7/10/2002,5.3975
8/10/2002,5.3525
9/10/2002,5.235
10/10/2002,5.2475
11/10/2002,5.285
14/10/2002,5.325
15/10/2002,5.4775
16/10/2002,5.47
17/10/2002,5.5075
18/10/2002,5.46
21/10/2002,5.51
22/10/2002,5.465
23/10/2002,5.545
24/10/2002,5.575
25/10/2002,5.57
28/10/2002,5.4565
29/10/2002,5.579
30/10/2002,5.5775
31/10/2002,5.6625
1/11/2002,5.6875
4/11/2002,5.7275
5/11/2002,5.7275
6/11/2002,5.75
7/11/2002,5.6825
8/11/2002,5.585
11/11/2002,5.6825
12/11/2002,5.625
13/11/2002,5.63
14/11/2002,5.6725
15/11/2002,5.6325
18/11/2002,5.665
19/11/2002,5.7375
20/11/2002,5.7575
21/11/2002,5.695
22/11/2002,5.7175
25/11/2002,5.7225
26/11/2002,5.73
27/11/2002,5.7725
29/11/2002,5.7875
2/12/2002,5.785
3/12/2002,5.645
4/12/2002,5.6625
5/12/2002,5.62
6/12/2002,5.6325
9/12/2002,5.62
10/12/2002,5.64
11/12/2002,5.68
12/12/2002,5.76
13/12/2002,5.72
16/12/2002,5.615
17/12/2002,5.56
18/12/2002,5.6025
19/12/2002,5.6375
20/12/2002,5.72
23/12/2002,5.7275
26/12/2002,5.6505
27/12/2002,5.6845
30/12/2002,5.6365
31/12/2002,5.659
2/1/2003,5.81
3/1/2003,5.7775
6/1/2003,5.77
7/1/2003,5.7975
8/1/2003,5.82
9/1/2003,5.7975
10/1/2003,5.5675
13/1/2003,5.48
14/1/2003,5.5
15/1/2003,5.4975
16/1/2003,5.49
17/1/2003,5.56
21/1/2003,5.56
22/1/2003,5.6
23/1/2003,5.615
24/1/2003,5.69
27/1/2003,5.6725
28/1/2003,5.7325
29/1/2003,5.6125
30/1/2003,5.685
31/1/2003,5.64
3/2/2003,5.68
4/2/2003,5.705
5/2/2003,5.63
6/2/2003,5.625
7/2/2003,5.5575
10/2/2003,5.6475
11/2/2003,5.72
12/2/2003,5.6325
13/2/2003,5.7175
14/2/2003,5.73
18/2/2003,5.74
19/2/2003,5.7175
20/2/2003,5.685
21/2/2003,5.74
24/2/2003,5.7225
25/2/2003,5.759
26/2/2003,5.7915
27/2/2003,5.818
28/2/2003,5.754
3/3/2003,5.7675
4/3/2003,5.71
5/3/2003,5.675
6/3/2003,5.6225
7/3/2003,5.6325
10/3/2003,5.6575
11/3/2003,5.715
12/3/2003,5.655
13/3/2003,5.7525
14/3/2003,5.745
17/3/2003,5.6825
18/3/2003,5.74
19/3/2003,5.705
20/3/2003,5.745
21/3/2003,5.7675
24/3/2003,5.6975
25/3/2003,5.735
26/3/2003,5.69
27/3/2003,5.8025
28/3/2003,5.8
31/3/2003,5.745
1/4/2003,5.7375
2/4/2003,5.8675
3/4/2003,5.8525
4/4/2003,5.9075
7/4/2003,5.9875
8/4/2003,6.01
9/4/2003,6.04
10/4/2003,6.01
11/4/2003,6.0025
14/4/2003,6.0775
15/4/2003,6.105
16/4/2003,6.0925
17/4/2003,6.22
21/4/2003,6.165
22/4/2003,6.1
23/4/2003,6.03
24/4/2003,6.025
25/4/2003,5.995
28/4/2003,6.063
29/4/2003,6.23
30/4/2003,6.265
1/5/2003,6.315
2/5/2003,6.31
5/5/2003,6.2775
6/5/2003,6.295
7/5/2003,6.27
8/5/2003,6.245
9/5/2003,6.38
12/5/2003,6.425
13/5/2003,6.4425
14/5/2003,6.4925
15/5/2003,6.4875
16/5/2003,6.42
19/5/2003,6.37
20/5/2003,6.4275
21/5/2003,6.4
22/5/2003,6.2675
23/5/2003,6.2825
27/5/2003,6.305
28/5/2003,6.23
29/5/2003,6.3
30/5/2003,6.245
2/6/2003,6.125
3/6/2003,6.1025
4/6/2003,6.1525
5/6/2003,6.1875
6/6/2003,6.315
9/6/2003,6.255
10/6/2003,6.335
11/6/2003,6.295
12/6/2003,6.245
13/6/2003,6.145
16/6/2003,6.1725
17/6/2003,6.2125
18/6/2003,6.29
19/6/2003,6.3
20/6/2003,6.2925
23/6/2003,6.3025
24/6/2003,6.3575
25/6/2003,6.419
26/6/2003,6.2645
27/6/2003,6.273
30/6/2003,6.1565
1/7/2003,6.1825
2/7/2003,6.1925
3/7/2003,6.1475
7/7/2003,6.055
8/7/2003,6.0175
9/7/2003,6.1
10/7/2003,6.0275
11/7/2003,6.0425
14/7/2003,5.995
15/7/2003,5.8525
16/7/2003,5.82
17/7/2003,5.7275
18/7/2003,5.605
21/7/2003,5.5775
22/7/2003,5.6175
23/7/2003,5.5675
24/7/2003,5.4775
25/7/2003,5.495
28/7/2003,5.5105
29/7/2003,5.346
30/7/2003,5.2985
31/7/2003,5.219
1/8/2003,5.245
4/8/2003,5.23
5/8/2003,5.195
6/8/2003,5.2
7/8/2003,5.1925
8/8/2003,5.24
11/8/2003,5.3525
12/8/2003,5.5025
13/8/2003,5.4725
14/8/2003,5.5175
15/8/2003,5.5225
18/8/2003,5.8225
19/8/2003,5.6775
20/8/2003,5.765
21/8/2003,5.785
22/8/2003,5.8625
25/8/2003,5.8625
26/8/2003,5.767
27/8/2003,5.818
28/8/2003,5.8915
29/8/2003,5.902
2/9/2003,5.745
3/9/2003,5.8075
4/9/2003,5.8825
5/9/2003,5.8725
8/9/2003,5.9
9/9/2003,5.985
10/9/2003,5.965
11/9/2003,6.1575
12/9/2003,6.23
15/9/2003,6.19
16/9/2003,6.1075
17/9/2003,6.1725
18/9/2003,6.27
19/9/2003,6.38
22/9/2003,6.5125
23/9/2003,6.51
24/9/2003,6.53
25/9/2003,6.555
26/9/2003,6.565
29/9/2003,6.8325
30/9/2003,6.7725
1/10/2003,6.8725
2/10/2003,6.97
3/10/2003,6.78
6/10/2003,6.84
7/10/2003,6.8775
8/10/2003,6.785
9/10/2003,6.925
10/10/2003,7.135
13/10/2003,7.315
14/10/2003,7.415
15/10/2003,7.275
16/10/2003,7.255
17/10/2003,7.2925
20/10/2003,7.2925
21/10/2003,7.3025
22/10/2003,7.4975
23/10/2003,7.6375
24/10/2003,7.625
27/10/2003,7.585
28/10/2003,7.8305
29/10/2003,8.014
30/10/2003,7.968
31/10/2003,7.9705
3/11/2003,7.97
4/11/2003,7.6325
5/11/2003,7.73
6/11/2003,7.65
7/11/2003,7.485
10/11/2003,7.62
11/11/2003,7.7575
12/11/2003,7.7
13/11/2003,7.76
14/11/2003,7.785
17/11/2003,7.8
18/11/2003,7.77
19/11/2003,7.4875
20/11/2003,7.5925
21/11/2003,7.535
24/11/2003,7.3725
25/11/2003,7.46
26/11/2003,7.4575
28/11/2003,7.5625
1/12/2003,7.61
2/12/2003,7.7325
3/12/2003,7.7825
4/12/2003,7.69
5/12/2003,7.605
8/12/2003,7.7075
9/12/2003,7.87
10/12/2003,7.85
11/12/2003,7.6675
12/12/2003,7.7625
15/12/2003,7.73
16/12/2003,7.6425
17/12/2003,7.685
18/12/2003,7.595
19/12/2003,7.6475
22/12/2003,7.5375
23/12/2003,7.4125
24/12/2003,7.5975
26/12/2003,7.936
29/12/2003,7.875
30/12/2003,7.8185
31/12/2003,7.93
2/1/2004,7.9825
5/1/2004,8.005
6/1/2004,8.005
7/1/2004,7.9375
8/1/2004,7.975
9/1/2004,7.93
12/1/2004,8.2275
13/1/2004,8.39
14/1/2004,8.415
15/1/2004,8.35
16/1/2004,8.3575
20/1/2004,8.2825
21/1/2004,8.42
22/1/2004,8.405
23/1/2004,8.3925
26/1/2004,8.475
27/1/2004,8.355
28/1/2004,8.0475
29/1/2004,8.09
30/1/2004,8.195
2/2/2004,7.93
3/2/2004,8.025
4/2/2004,8.0575
5/2/2004,8.3225
6/2/2004,8.4
9/2/2004,8.475
10/2/2004,8.3475
11/2/2004,8.38
12/2/2004,8.22
13/2/2004,8.29
17/2/2004,8.51
18/2/2004,8.545
19/2/2004,8.8
20/2/2004,8.93
23/2/2004,9.115
24/2/2004,9.29
25/2/2004,9.3145
26/2/2004,9.262
27/2/2004,9.385
1/3/2004,9.575
2/3/2004,9.285
3/3/2004,9.43
4/3/2004,9.365
5/3/2004,9.3775
8/3/2004,9.17
9/3/2004,9.47
10/3/2004,9.235
11/3/2004,9.44
12/3/2004,9.5575
15/3/2004,9.7825
16/3/2004,9.89
17/3/2004,9.94
18/3/2004,10.18
19/3/2004,10.24
22/3/2004,10.5575
23/3/2004,10.52
24/3/2004,10.235
25/3/2004,10.285
26/3/2004,10.13
29/3/2004,10.13
30/3/2004,10.1625
31/3/2004,9.95
1/4/2004,10.295
2/4/2004,10.455
5/4/2004,10.245
6/4/2004,10.09
7/4/2004,10.16
8/4/2004,9.88
12/4/2004,9.67
13/4/2004,9.715
14/4/2004,10.13
15/4/2004,9.63
16/4/2004,9.65
19/4/2004,9.69
20/4/2004,9.5275
21/4/2004,9.35
22/4/2004,9.47
23/4/2004,9.67
26/4/2004,9.645
27/4/2004,10.013
28/4/2004,9.899
29/4/2004,10.058
30/4/2004,10.172
3/5/2004,10.21
4/5/2004,10.215
5/5/2004,10.2
6/5/2004,10.005
7/5/2004,10.315
10/5/2004,10.125
11/5/2004,10.2225
12/5/2004,9.7225
13/5/2004,9.825
14/5/2004,9.325
17/5/2004,9.055
18/5/2004,8.74
19/5/2004,9.075
20/5/2004,8.69
21/5/2004,8.725
24/5/2004,8.66
25/5/2004,8.8225
26/5/2004,8.72
27/5/2004,8.22
28/5/2004,8.14
1/6/2004,8.64
2/6/2004,8.495
3/6/2004,8.06
4/6/2004,8.385
7/6/2004,8.49
8/6/2004,8.52
9/6/2004,8.52
10/6/2004,8.47
14/6/2004,8.725
15/6/2004,8.84
16/6/2004,8.695
17/6/2004,8.63
18/6/2004,8.72
21/6/2004,8.885
22/6/2004,8.87
23/6/2004,9.175
24/6/2004,9.215
25/6/2004,9.0575
28/6/2004,8.54
29/6/2004,8.411
30/6/2004,8.046
1/7/2004,8.0375
2/7/2004,8.0925
6/7/2004,8.195
7/7/2004,8.215
8/7/2004,8.13
9/7/2004,8.14
12/7/2004,7.86
13/7/2004,7.675
14/7/2004,7.8075
15/7/2004,7.51
16/7/2004,7.075
19/7/2004,7.075
20/7/2004,7.25
21/7/2004,7.075
22/7/2004,6.575
23/7/2004,6.695
26/7/2004,6.69
27/7/2004,6.542
28/7/2004,6.092
29/7/2004,6.038
30/7/2004,5.795
2/8/2004,5.695
3/8/2004,5.7275
4/8/2004,5.655
5/8/2004,5.815
6/8/2004,5.6925
9/8/2004,5.7825
10/8/2004,5.715
11/8/2004,5.615
12/8/2004,5.9
13/8/2004,5.8625
16/8/2004,5.755
17/8/2004,5.9175
18/8/2004,6.0025
19/8/2004,5.9825
20/8/2004,5.9475
23/8/2004,6.23
24/8/2004,6.2
25/8/2004,6.2325
26/8/2004,6.147
27/8/2004,5.986
30/8/2004,6.213
31/8/2004,6.2725
1/9/2004,6.3725
2/9/2004,6.2875
3/9/2004,6.1225
7/9/2004,5.835
8/9/2004,5.835
9/9/2004,5.82
10/9/2004,5.72
13/9/2004,5.71
14/9/2004,5.655
15/9/2004,5.665
16/9/2004,5.5725
17/9/2004,5.53
20/9/2004,5.4375
21/9/2004,5.4225
22/9/2004,5.3825
23/9/2004,5.3775
24/9/2004,5.235
27/9/2004,5.31
28/9/2004,5.315
29/9/2004,5.335
30/9/2004,5.27
1/10/2004,5.345
4/10/2004,5.2525
5/10/2004,5.24
6/10/2004,5.2625
7/10/2004,5.2575
8/10/2004,5.285
11/10/2004,5.39
12/10/2004,5.13
13/10/2004,5.095
14/10/2004,5.155
15/10/2004,5.14
18/10/2004,5.1475
19/10/2004,5.2775
20/10/2004,5.325
21/10/2004,5.28
22/10/2004,5.3
25/10/2004,5.41
26/10/2004,5.4
27/10/2004,5.315
28/10/2004,5.331
29/10/2004,5.323
1/11/2004,5.215
2/11/2004,5.255
3/11/2004,5.185
4/11/2004,5.0625
5/11/2004,5.0525
8/11/2004,5.055
9/11/2004,5.105
10/11/2004,5.25
11/11/2004,5.1975
12/11/2004,5.25
15/11/2004,5.3575
16/11/2004,5.405
17/11/2004,5.53
18/11/2004,5.55
19/11/2004,5.505
22/11/2004,5.545
23/11/2004,5.6125
24/11/2004,5.54
26/11/2004,5.485
29/11/2004,5.395
30/11/2004,5.3475
1/12/2004,5.28
2/12/2004,5.2075
3/12/2004,5.2575
6/12/2004,5.2975
7/12/2004,5.22
8/12/2004,5.2925
9/12/2004,5.265
10/12/2004,5.33
13/12/2004,5.4675
14/12/2004,5.5025
15/12/2004,5.46
16/12/2004,5.445
17/12/2004,5.4875
20/12/2004,5.5
21/12/2004,5.49
22/12/2004,5.4625
23/12/2004,5.505
27/12/2004,5.566
28/12/2004,5.4945
29/12/2004,5.454
30/12/2004,5.4735
3/1/2005,5.355
4/1/2005,5.25
5/1/2005,5.27
6/1/2005,5.325
7/1/2005,5.4225
10/1/2005,5.485
11/1/2005,5.4325
12/1/2005,5.3375
13/1/2005,5.365
14/1/2005,5.195
18/1/2005,5.135
19/1/2005,5.1775
20/1/2005,5.2325
21/1/2005,5.1675
24/1/2005,5.2
25/1/2005,5.26
26/1/2005,5.23
27/1/2005,5.1575
28/1/2005,5.14
31/1/2005,5.1475
1/2/2005,5.07
2/2/2005,5.0525
3/2/2005,5.02
4/2/2005,4.995
7/2/2005,5.0125
8/2/2005,5.035
9/2/2005,5.1075
10/2/2005,5.16
11/2/2005,5.2575
14/2/2005,5.3575
15/2/2005,5.3525
16/2/2005,5.35
17/2/2005,5.52
18/2/2005,5.525
22/2/2005,5.77
23/2/2005,5.779
24/2/2005,5.71
25/2/2005,6.017
28/2/2005,6.207
1/3/2005,6.1325
2/3/2005,6.2725
3/3/2005,6.2725
4/3/2005,6.2975
7/3/2005,6.16
8/3/2005,6.255
9/3/2005,6.295
10/3/2005,6.3925
11/3/2005,6.625
14/3/2005,6.56
15/3/2005,6.81
16/3/2005,6.735
17/3/2005,6.715
18/3/2005,6.49
21/3/2005,6.265
22/3/2005,6.2725
23/3/2005,6.2325
24/3/2005,6.2875
28/3/2005,6.2575
29/3/2005,6.24
30/3/2005,6.41
31/3/2005,6.275
1/4/2005,6.14
4/4/2005,6.15
5/4/2005,6.175
6/4/2005,6.2325
7/4/2005,6.235
8/4/2005,6.12
11/4/2005,6.1675
12/4/2005,6.175
13/4/2005,6.2325
14/4/2005,6.17
15/4/2005,6.1625
18/4/2005,6.095
19/4/2005,6.31
20/4/2005,6.3075
21/4/2005,6.3775
22/4/2005,6.33
25/4/2005,6.3525
26/4/2005,6.381
27/4/2005,6.2985
28/4/2005,6.2235
29/4/2005,6.2485
2/5/2005,6.2725
3/5/2005,6.255
4/5/2005,6.245
5/5/2005,6.2875
6/5/2005,6.4
9/5/2005,6.3775
10/5/2005,6.34
11/5/2005,6.33
12/5/2005,6.235
13/5/2005,6.1275
16/5/2005,6.235
17/5/2005,6.2075
18/5/2005,6.3325
19/5/2005,6.2925
20/5/2005,6.32
23/5/2005,6.4
24/5/2005,6.455
25/5/2005,6.665
26/5/2005,6.76
27/5/2005,6.6775
31/5/2005,6.8025
1/6/2005,6.8525
2/6/2005,6.685
3/6/2005,6.7525
6/6/2005,6.7775
7/6/2005,6.7475
8/6/2005,6.675
9/6/2005,6.7325
10/6/2005,6.6625
13/6/2005,6.805
14/6/2005,6.8975
15/6/2005,7.025
16/6/2005,7.0075
17/6/2005,7.24
20/6/2005,7.39
21/6/2005,7.3525
22/6/2005,7.37
23/6/2005,7.2575
24/6/2005,7.445
27/6/2005,6.9525
28/6/2005,6.6865
29/6/2005,6.747
30/6/2005,6.5515
1/7/2005,6.76
5/7/2005,7.155
6/7/2005,6.9825
7/7/2005,6.945
8/7/2005,6.78
11/7/2005,6.9
12/7/2005,7.0125
13/7/2005,7.14
14/7/2005,7.2
15/7/2005,7.21
18/7/2005,7.1725
19/7/2005,6.825
20/7/2005,6.845
21/7/2005,6.695
22/7/2005,6.6925
25/7/2005,6.6975
26/7/2005,6.7665
27/7/2005,6.7545
28/7/2005,6.871
29/7/2005,6.7595
1/8/2005,6.7725
