date,value
3/1/2017,9.95
4/1/2017,10.1525
5/1/2017,10.125
6/1/2017,9.9475
9/1/2017,10.0525
10/1/2017,10.1375
11/1/2017,10.115
12/1/2017,10.4025
13/1/2017,10.4625
17/1/2017,10.6925
18/1/2017,10.75
19/1/2017,10.7025
20/1/2017,10.675
23/1/2017,10.5775
24/1/2017,10.585
25/1/2017,10.5525
26/1/2017,10.495
27/1/2017,10.4925
30/1/2017,10.2275
31/1/2017,10.245
1/2/2017,10.3675
2/2/2017,10.3725
3/2/2017,10.27
6/2/2017,10.36
7/2/2017,10.4275
8/2/2017,10.5875
9/2/2017,10.505
10/2/2017,10.59
13/2/2017,10.5425
14/2/2017,10.45
15/2/2017,10.6125
16/2/2017,10.4375
17/2/2017,10.325
21/2/2017,10.2625
22/2/2017,10.2275
23/2/2017,10.137
24/2/2017,10.178
27/2/2017,10.176
28/2/2017,10.336
1/3/2017,10.5175
2/3/2017,10.3725
3/3/2017,10.375
6/3/2017,10.3725
7/3/2017,10.2525
8/3/2017,10.2175
9/3/2017,10.11
10/3/2017,10.065
13/3/2017,10.06
14/3/2017,9.9925
15/3/2017,9.98
16/3/2017,10.015
17/3/2017,10
20/3/2017,9.995
21/3/2017,10.015
22/3/2017,9.9975
23/3/2017,9.91
24/3/2017,9.7575
27/3/2017,9.715
28/3/2017,9.72
29/3/2017,9.69
30/3/2017,9.63
31/3/2017,9.46
3/4/2017,9.3825
4/4/2017,9.3775
5/4/2017,9.4425
6/4/2017,9.415
7/4/2017,9.42
10/4/2017,9.4175
11/4/2017,9.3925
12/4/2017,9.4775
13/4/2017,9.555
17/4/2017,9.5325
18/4/2017,9.46
19/4/2017,9.5025
20/4/2017,9.4675
21/4/2017,9.51
24/4/2017,9.6125
25/4/2017,9.566
26/4/2017,9.5005
27/4/2017,9.5265
28/4/2017,9.5405
1/5/2017,9.7025
2/5/2017,9.6875
3/5/2017,9.7525
4/5/2017,9.7425
5/5/2017,9.73
8/5/2017,9.6475
9/5/2017,9.74
10/5/2017,9.7025
11/5/2017,9.6625
12/5/2017,9.63
15/5/2017,9.6525
16/5/2017,9.7625
17/5/2017,9.7575
18/5/2017,9.4475
19/5/2017,9.53
22/5/2017,9.565
23/5/2017,9.4825
24/5/2017,9.4825
25/5/2017,9.395
26/5/2017,9.265
30/5/2017,9.1275
31/5/2017,9.16
1/6/2017,9.1225
2/6/2017,9.2125
5/6/2017,9.22
6/6/2017,9.235
7/6/2017,9.3075
8/6/2017,9.38
9/6/2017,9.415
12/6/2017,9.3125
13/6/2017,9.325
14/6/2017,9.3175
15/6/2017,9.3475
16/6/2017,9.39
19/6/2017,9.3775
20/6/2017,9.2775
21/6/2017,9.1875
22/6/2017,9.04
23/6/2017,9.045
26/6/2017,9.0675
27/6/2017,9.122
28/6/2017,9.16
29/6/2017,9.1865
30/6/2017,9.4605
3/7/2017,9.7
5/7/2017,9.8175
6/7/2017,9.8575
7/7/2017,10.01
10/7/2017,10.2475
11/7/2017,10.2925
12/7/2017,10.2075
13/7/2017,9.755
14/7/2017,9.89
17/7/2017,9.85
18/7/2017,9.895
19/7/2017,9.9975
20/7/2017,10.1325
21/7/2017,10.09
24/7/2017,9.975
25/7/2017,9.815
26/7/2017,9.8975
27/7/2017,9.9685
28/7/2017,10.039
31/7/2017,9.985
1/8/2017,9.6425
2/8/2017,9.7075
3/8/2017,9.54
4/8/2017,9.5225
7/8/2017,9.64
8/8/2017,9.67
9/8/2017,9.66
10/8/2017,9.34
11/8/2017,9.3825
14/8/2017,9.3275
15/8/2017,9.2175
16/8/2017,9.2175
17/8/2017,9.3025
18/8/2017,9.375
21/8/2017,9.325
22/8/2017,9.3375
23/8/2017,9.35
24/8/2017,9.4125
25/8/2017,9.39
28/8/2017,9.3645
29/8/2017,9.3335
30/8/2017,9.2915
31/8/2017,9.4345
1/9/2017,9.495
5/9/2017,9.685
6/9/2017,9.71
7/9/2017,9.6875
8/9/2017,9.62
11/9/2017,9.6
12/9/2017,9.505
13/9/2017,9.605
14/9/2017,9.76
15/9/2017,9.6875
18/9/2017,9.6775
19/9/2017,9.655
20/9/2017,9.7
21/9/2017,9.7075
22/9/2017,9.8425
25/9/2017,9.7125
26/9/2017,9.635
27/9/2017,9.655
28/9/2017,9.595
29/9/2017,9.6825
2/10/2017,9.5725
3/10/2017,9.5525
4/10/2017,9.5825
5/10/2017,9.6825
6/10/2017,9.7225
9/10/2017,9.6675
10/10/2017,9.66
11/10/2017,9.6525
12/10/2017,9.92
13/10/2017,10.0025
16/10/2017,9.91
17/10/2017,9.8475
18/10/2017,9.8425
19/10/2017,9.865
20/10/2017,9.7875
23/10/2017,9.8075
24/10/2017,9.755
25/10/2017,9.755
26/10/2017,9.735
27/10/2017,9.7975
30/10/2017,9.798
31/10/2017,9.8255
1/11/2017,9.9125
2/11/2017,9.9925
3/11/2017,9.8675
6/11/2017,9.94
7/11/2017,9.96
8/11/2017,9.985
9/11/2017,9.85
10/11/2017,9.87
13/11/2017,9.7425
14/11/2017,9.6775
15/11/2017,9.7625
16/11/2017,9.72
17/11/2017,9.905
20/11/2017,9.9
21/11/2017,9.89
22/11/2017,9.9725
24/11/2017,9.9325
27/11/2017,9.96
28/11/2017,9.93
29/11/2017,9.925
30/11/2017,9.8575
1/12/2017,9.9425
4/12/2017,9.985
5/12/2017,10.085
6/12/2017,10.0275
7/12/2017,9.92
8/12/2017,9.8975
11/12/2017,9.825
12/12/2017,9.7575
13/12/2017,9.7925
14/12/2017,9.6775
15/12/2017,9.6725
18/12/2017,9.615
19/12/2017,9.56
20/12/2017,9.54
21/12/2017,9.4875
22/12/2017,9.495
26/12/2017,9.615
27/12/2017,9.603
28/12/2017,9.5235
29/12/2017,9.5975
2/1/2018,9.6475
3/1/2018,9.6875
4/1/2018,9.6775
5/1/2018,9.7075
8/1/2018,9.6675
9/1/2018,9.6375
10/1/2018,9.55
11/1/2018,9.5
12/1/2018,9.605
16/1/2018,9.68
17/1/2018,9.6875
18/1/2018,9.73
19/1/2018,9.7725
22/1/2018,9.8425
23/1/2018,9.8625
24/1/2018,9.9225
25/1/2018,9.9225
26/1/2018,9.855
29/1/2018,9.915
30/1/2018,10.0025
31/1/2018,9.9575
1/2/2018,9.85
2/2/2018,9.7875
5/2/2018,9.6975
6/2/2018,9.8625
7/2/2018,9.83
8/2/2018,9.8775
9/2/2018,9.83
12/2/2018,10.0175
13/2/2018,10.1175
14/2/2018,10.1725
15/2/2018,10.2425
16/2/2018,10.215
20/2/2018,10.265
21/2/2018,10.3425
22/2/2018,10.32
23/2/2018,10.385
26/2/2018,10.3895
27/2/2018,10.449
28/2/2018,10.534
1/3/2018,10.68
2/3/2018,10.71
5/3/2018,10.775
6/3/2018,10.7475
7/3/2018,10.6525
8/3/2018,10.64
9/3/2018,10.3925
12/3/2018,10.41
13/3/2018,10.4875
14/3/2018,10.3225
15/3/2018,10.4075
16/3/2018,10.495
19/3/2018,10.225
20/3/2018,10.2825
21/3/2018,10.2975
22/3/2018,10.2975
23/3/2018,10.2825
26/3/2018,10.255
27/3/2018,10.195
28/3/2018,10.18
29/3/2018,10.4475
2/4/2018,10.355
3/4/2018,10.38
4/4/2018,10.1525
5/4/2018,10.3125
6/4/2018,10.3375
9/4/2018,10.47
10/4/2018,10.5
11/4/2018,10.4775
12/4/2018,10.6075
13/4/2018,10.5425
16/4/2018,10.42
17/4/2018,10.46
18/4/2018,10.4175
19/4/2018,10.3725
20/4/2018,10.2875
23/4/2018,10.2075
24/4/2018,10.2225
25/4/2018,10.2985
26/4/2018,10.326
27/4/2018,10.5175
30/4/2018,10.4635
1/5/2018,10.5325
2/5/2018,10.43
3/5/2018,10.5325
4/5/2018,10.3675
7/5/2018,10.115
8/5/2018,10.2025
9/5/2018,10.1575
10/5/2018,10.2125
11/5/2018,10.0325
14/5/2018,10.1775
15/5/2018,10.1875
16/5/2018,9.9975
17/5/2018,9.95
18/5/2018,9.985
21/5/2018,10.2525
22/5/2018,10.305
23/5/2018,10.3925
24/5/2018,10.3575
25/5/2018,10.415
29/5/2018,10.305
30/5/2018,10.23
31/5/2018,10.185
1/6/2018,10.2125
4/6/2018,10.0175
5/6/2018,10.0125
6/6/2018,9.9425
7/6/2018,9.7425
8/6/2018,9.6925
11/6/2018,9.5375
12/6/2018,9.54
13/6/2018,9.36
14/6/2018,9.2725
15/6/2018,9.055
18/6/2018,9.085
19/6/2018,8.89
20/6/2018,8.895
21/6/2018,8.805
22/6/2018,8.945
25/6/2018,8.745
26/6/2018,8.684
27/6/2018,8.697
28/6/2018,8.6455
29/6/2018,8.625
2/7/2018,8.535
3/7/2018,8.48
5/7/2018,8.3925
6/7/2018,8.775
9/7/2018,8.5575
10/7/2018,8.5575
11/7/2018,8.33
12/7/2018,8.3375
13/7/2018,8.1875
16/7/2018,8.295
17/7/2018,8.395
18/7/2018,8.4225
19/7/2018,8.46
20/7/2018,8.4975
23/7/2018,8.4775
24/7/2018,8.58
25/7/2018,8.6075
26/7/2018,8.6225
27/7/2018,8.724
30/7/2018,8.7845
31/7/2018,9.0775
1/8/2018,8.915
2/8/2018,8.87
3/8/2018,8.915
6/8/2018,8.8275
7/8/2018,8.9525
8/8/2018,8.9975
9/8/2018,8.93
10/8/2018,8.5075
13/8/2018,8.5725
14/8/2018,8.6825
15/8/2018,8.575
16/8/2018,8.855
17/8/2018,8.815
20/8/2018,8.8175
21/8/2018,8.745
22/8/2018,8.5825
23/8/2018,8.42
24/8/2018,8.42
27/8/2018,8.3475
28/8/2018,8.2305
29/8/2018,8.2835
30/8/2018,8.267
31/8/2018,8.414
4/9/2018,8.4425
5/9/2018,8.38
6/9/2018,8.3925
7/9/2018,8.44
10/9/2018,8.4525
11/9/2018,8.3175
12/9/2018,8.4
13/9/2018,8.3325
14/9/2018,8.305
